kegiatan,jenis_kegiatan,waktu,lokasi,jumlah_peserta
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-03,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-04,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-07,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-08,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-09,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-10,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-11,GOR Rawamangun,275
Pelaksanaan Kejuaraan Atletik Pelajar Provinsi DKI Jakarta,Lomba,2019-12,GOR Rawamangun,275
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-03,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-04,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-07,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-08,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-09,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-10,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-11,GOR Ragunan,385
Pelaksanaan Kejuaraan Renang Pelajar Provinsi DKI Jakarta,Lomba,2019-12,GOR Ragunan,385
Pelaksanaan Kejuaraan Olahraga Beladiri Pelajar Provinsi DKI Jakarta,Lomba,2019-04,DKI Jakarta,605
Pelaksanaan Kejuaraan Sepatu Roda Pelajar Provinsi DKI Jakarta,Lomba,2019-11,DKI Jakarta,330
Pelaksanaan Kejuaraan Bolavoli Pelajar Provinsi DKI Jakarta,Lomba,2019-07,DKI Jakarta,600
Pelaksanaan Kejuaraan Sepak Takraw Pelajar Provinsi DKI Jakarta,Lomba,2019-08,DKI Jakarta,300
Kejuaraan Olahraga Antar Pondok Pesantren,Lomba,2019-06,DKI Jakarta,850
Pelaksanaan Kejuaraan Bocce bagi Tuna Grahita Provinsi DKI Jakarta,Lomba,2019-07,DKI Jakarta,305
Pelaksanaan Kejuaraan Sepakbola bagi Tuna Grahita Provinsi DKI Jakarta,Lomba,2019-08,DKI Jakarta,305
Pelaksanaan Kejuaraan Bulutangkis Tunarungu Provinsi DKI Jakarta,Lomba,2019-07,DKI Jakarta,200
Pelaksanaan Kejuaraan Futsal Tunarungu Provinsi DKI Jakarta,Lomba,2019-08,DKI Jakarta,300
Pelaksanaan Kejuaraan Renang Disabilitas Provinsi DKI Jakarta,Lomba,2019-09,DKI Jakarta,330
Pelaksanaan Kejuaraan Olahraga Tradisional Provinsi DKI Jakarta,Lomba,2019-07,DKI Jakarta,900
Pelaksanaan Pekan Paralimpik Tingkat Provinsi,Lomba,2019-09,DKI Jakarta,440
Pelaksanaan Festival Pencak Silat Betawi,Festival,2019-08,DKI Jakarta,725
Pelaksanaan Tes Kebugaran Jasmani Karyawan dan Masyarakat Tingkat Provinsi,Tes,2019-04,DKI Jakarta,3000
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-01,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-02,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-03,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-04,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-05,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-06,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-07,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-08,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-09,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-10,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-11,DKI Jakarta,47
Penyediaan Instruktur Pelatih dan Penggerak Olahraga Pelatihan Pelatih dan Penggerak Olahraga,Pelatihan,2019-12,DKI Jakarta,47
