nama_fasilitas ,penanggung_jawab,bulan,jumlah
Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,01,7300
Gedung Olahraga Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,01,0
Kolam Renang Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,01,1215
Gedung Auditorium Kebon Jahe Tanah Abang,Jakarta Pusat,01,0
Gelanggang Remaja Kecamatan Tanah Abang,Jakarta Pusat,01,5520
Gelanggang Remaja Kecamatan Kemayoran,Jakarta Pusat,01,1350
Gelanggang Remaja Kecamatan Sawah Besar,Jakarta Pusat,01,1215
Gelanggang Remaja Kecamatan Johar Baru,Jakarta Pusat,01,3360
Gelanggang Remaja Kecamatan Cempaka Putih,Jakarta Pusat,01,2061
Stadion Sepak Bola Banteng,Jakarta Pusat,01,0
Gedung Olahraga Tenis Meja,Jakarta Pusat,01,750
Kolam Renang Kebon Jahe Tanah Abang,Jakarta Pusat,01,1508
Gedung Olahraga Kemakmuran,Jakarta Pusat,01,1222
Stadion Sepak Bola V I J,Jakarta Pusat,01,1300
Kolam Renang Gelanggang Remaja Jakarta Barat,Jakarta Barat,01,5077
Gedung Auditorium Jakarta Barat,Jakarta Barat,01,3133
Gedung Olahraga Jakarta Barat,Jakarta Barat,01,1510
GR Kecamatan Kalideres,Jakarta Barat,01,1361
GR Kecamatan Kembangan,Jakarta Barat,01,1596
GR Kecamatan Kebon Jeruk,Jakarta Barat,01,1177
GR Kecamatan Tambora,Jakarta Barat,01,890
GR Kecamatan Grogol Petamburan,Jakarta Barat,01,9431
GR Kecamatan Palmerah,Jakarta Barat,01,991
Gedung Olahraga,Jakarta Selatan,01,4592
Gedung Pertunjukan,Jakarta Selatan,01,0
Kolam Renang,Jakarta Selatan,01,2952
Gedung Bridge,Jakarta Selatan,01,1825
Stadion Bola PSPI Tebet,Jakarta Selatan,01,7090
Lapangan Tenis,Jakarta Selatan,01,1715
GR Kecamatan Tebet,Jakarta Selatan,01,1970
GR Kecamatan Kebayoran Lama,Jakarta Selatan,01,980
GR Kecamatan Kebayoran Baru,Jakarta Selatan,01,1936
GR Kecamatan Pesanggrahan,Jakarta Selatan,01,2248
GR Kecamatan Mampang Prapatan,Jakarta Selatan,01,1214
GR Kecamatan Jagakarsa,Jakarta Selatan,01,355
GR Kecamatan Pasar Minggu,Jakarta Selatan,01,2793
Wisma Atlet,Jakarta Selatan,01,66
Gedung Olahraga,Jakarta Utara,01,11706
GR Kecamatan Tanjung Priok,Jakarta Utara,01,744
GR Kecamatan Cilincing,Jakarta Utara,01,48399
GR Kecamatan Kelapa Gading,Jakarta Utara,01,3799
Kolam Renang,Jakarta Utara,01,9261
Gedung Auditorium,Jakarta Utara,01,9131
GR Kecamatan Koja,Jakarta Utara,01,4561
Area Halaman GRJU,Jakarta Utara,01,4171
Gedung Auditorium,Jakarta Timur,01,6470
Gedung Olahraga,Jakarta Timur,01,540
Kolam Renang,Jakarta Timur,01,3527
GR Kecamatan Jatinegara,Jakarta Timur,01,5689
GR Kecamatan Pulogadung,Jakarta Timur,01,4489
GR Kecamatan Pasar Rebo,Jakarta Timur,01,3212
GR Kecamatan Cipayung,Jakarta Timur,01,2425
GR Kecamatan Kramat Jati,Jakarta Timur,01,3202
GR Kecamatan Makasar,Jakarta Timur,01,4095
GR Kecamatan Duren Sawit,Jakarta Timur,01,1417
GR Kecamatan Cakung,Jakarta Timur,01,2787
GR Kecamatan Matraman,Jakarta Timur,01,0
GR Kecamatan Ciracas,Jakarta Timur,01,5700
Sekretariat,Jakarta Timur,01,560
GOR PKP,Jakarta Timur,01,3400
Lapangan Terbuka Karet Tengsin,Suku Dinas Jakarta Pusat,01,1558
Lapangan Terbuka Pors Serdang,Suku Dinas Jakarta Pusat,01,1985
Lapangan Terbuka Pejompongan,Suku Dinas Jakarta Pusat,01,1876
Lapangan Bulutangkis Komp,Suku Dinas Jakarta Barat,01,3217
Lapangan Bola Voli Pedongkelan,Suku Dinas Jakarta Barat,01,1173
Lapangan Bulutangkis Rawa Melati,Suku Dinas Jakarta Barat,01,1157
Lapangan Bola Voli Kamp,Suku Dinas Jakarta Barat,01,1073
Lapangan Basket Cengkareng Timur,Suku Dinas Jakarta Barat,01,1418
Lapangan Sepakbola Pegadungan,Suku Dinas Jakarta Barat,01,3307
Lapangan Sepakbola Semanan,Suku Dinas Jakarta Barat,01,1965
Lapangan Sepakbola Srengseng,Suku Dinas Jakarta Barat,01,115
Lapangan Sepakbola Kedoya,Suku Dinas Jakarta Barat,01,121
Lapangan Sepakbola Kebon Jeruk,Suku Dinas Jakarta Barat,01,248
Lapangan Sepakbola Persima,Suku Dinas Jakarta Barat,01,8324
Lapangan Sepakbola Wijaya Kusuma,Suku Dinas Jakarta Barat,01,5571
Lapangan Terbuka Jatipulo Palmerah,Suku Dinas Jakarta Barat,01,3214
Gedung Bulutangkis GOR Cendrawasih,Suku Dinas Jakarta Barat,01,1755
Gedung Asrama Atlet GOR Cendrawasih,Suku Dinas Jakarta Barat,01,20
Gedung Serbaguna GOR Cendrawasih,Suku Dinas Jakarta Barat,01,2102
Lapangan Tenis GOR Cendrawasih,Suku Dinas Jakarta Barat,01,320
Lapangan Tenis/Futsal GOR Cendrawasih,Suku Dinas Jakarta Barat,01,545
Stadion Terbuka Taman Sari,Suku Dinas Jakarta Barat,01,882
Stadion Sepakbola GOR Cendrawasih,Suku Dinas Jakarta Barat,01,710
Lapangan Basket GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,0
Lapangan Bulutangkis GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,1849
Lapangan Voli GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,2752
Fitness Center GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,1663
Kolam Renang GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,14313
Stadion GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,20106
Lapangan Sepakbola Dalam GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,10666
Lapangan Sepakbola Luar GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,2160
Plaza GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,01,0
Lapangan Sepakbola Blok S Kebayoran Baru,Suku Dinas Jakarta Selatan,01,4160
Lapangan Sepakbola Ahmad Yani Kebayoran Lama,Suku Dinas Jakarta Selatan,01,4731
Lapangan Sepakbola Kebagusan Pasar Minggu,Suku Dinas Jakarta Selatan,01,1743
Lapangan Sepakbola Deppen Pesanggrahan,Suku Dinas Jakarta Selatan,01,2450
Lapangan Sepakbola Sukatani Jagakarsa,Suku Dinas Jakarta Selatan,01,1902
Lapangan Sepakbola Jagakarsa,Suku Dinas Jakarta Selatan,01,0
Gedung Serbaguna Semper Barat,Suku Dinas Jakarta Utara,01,2141
Lapangan Terbuka Muara Angke,Suku Dinas Jakarta Utara,01,1856
Lapangan Terbuka Rorotan,Suku Dinas Jakarta Utara,01,3035
Lapangan Terbuka Kalibaru,Suku Dinas Jakarta Utara,01,1164
Area Jogging Track Gelora Sunter,Suku Dinas Jakarta Utara,01,10500
Area Fitness Outdoor Gelora Sunter,Suku Dinas Jakarta Utara,01,1240
Area Parkir Depan Kolam Renang Sunter (Kegiatan SKJ),Suku Dinas Jakarta Utara,01,5650
Area Fasilitas Olahraga Rawa Badak,Suku Dinas Jakarta Utara,01,705
Kolam Renang Sunter,Suku Dinas Jakarta Utara,01,7306
GOR Bulutangkis,Suku Dinas Jakarta Utara,01,3399
Gedung Serbaguna,Suku Dinas Jakarta Utara,01,5298
Stadion Sepakbola Sunter,Suku Dinas Jakarta Utara,01,860
Stadion Sepakbola Tugu,Suku Dinas Jakarta Utara,01,1147
Kolam Renang Rawa Badak,Suku Dinas Jakarta Utara,01,3988
Stadion Rawa Badak,Suku Dinas Jakarta Utara,01,916
Lapangan Tenis Rawa Badak,Suku Dinas Jakarta Utara,01,416
Gedung Judo Kelapa Gading,Suku Dinas Jakarta Utara,01,883
Fasilitas Olahraga Dayung Bahtera Jaya,Suku Dinas Jakarta Utara,01,1302
Fasilitas Olahraga Selancar Angin Bahtera Jaya,Suku Dinas Jakarta Utara,01,240
Fasilitas Olahraga Layar Bahtera Jaya,Suku Dinas Jakarta Utara,01,96
Stadion Kamal Muara,Suku Dinas Jakarta Utara,01,400
GOR Kamal Muara,Suku Dinas Jakarta Utara,01,800
GOR Bahtera Jaya,Suku Dinas Jakarta Utara,01,1550
Fasilitas Umum Milik Masyarakat,Suku Dinas Jakarta Utara,01,65137
Lapangan Sepakbola Setu,Suku Dinas Jakarta Timur,01,1614
Lapangan Sepakbola Klender,Suku Dinas Jakarta Timur,01,5025
Lapangan Sepakbola Cakung,Suku Dinas Jakarta Timur,01,6524
Lapangan Sepakbola Kramat Jati,Suku Dinas Jakarta Timur,01,0
Lapangan Sepakbola Gedong,Suku Dinas Jakarta Timur,01,3058
Lapangan Sepakbola Cijantung,Suku Dinas Jakarta Timur,01,3940
Lapangan Sepakbola Kelapa Dua Wetan,Suku Dinas Jakarta Timur,01,4230
Lapangan Sepakbola Cibubur,Suku Dinas Jakarta Timur,01,2907
Lapangan Sepakbola Lubang Buaya,Suku Dinas Jakarta Timur,01,4245
Lapangan Sepakbola Ceger,Suku Dinas Jakarta Timur,01,3649
GOR Perumnas Klender,Suku Dinas Jakarta Timur,01,3756
Tenis Indoor GOR Rawamangun,Suku Dinas Jakarta Timur,01,0
Tenis Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,01,0
Basket Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,01,0
